ano;tipo_atividade;titulo;data_inicio;data_fim;coordenador;area_tematica;situacao;tipo_projeto;bolsas_solicitadas;bolsas_concedidas;publico_interno;bolsas_edital;numero_edital;edital;municipio
2018;EVENTO;"Reperformar o Afeto: Professores-Performers


";2018-05-20;2018-05-24;NAIRA NEIDE CIOTTI;EDUCAÇÃO;EM EXECUÇÃO;EXTENSÃO;0;0;100;;;;
2018;EVENTO;VII Encontro Internacional de História Colonial;2018-09-05;2018-09-08;CARMEN MARGARIDA OLIVEIRA ALVEAL;CULTURA;EM EXECUÇÃO;EXTENSÃO;0;0;500;;;;
2018;EVENTO;X SIMPÓSIO BRASILEIRO DE PÓS-GRADUAÇÃO EM CIÊNCIAS FLORESTAIS;2018-06-13;2018-06-15;MAURO VASCONCELOS PACHECO;MEIO AMBIENTE;EM EXECUÇÃO;EXTENSÃO;0;0;50;;;;
2018;PROJETO;teste ifal;2018-03-01;2018-10-30;ALEXANDRE GUIMARAES DAVID;EDUCAÇÃO;SUBMETIDA;EXTENSÃO;0;0;5;;;;
2017;CURSO;Arduino Básico;2017-05-02;2017-05-04;JOSE HENRIQUE FERNANDEZ;TECNOLOGIA E PRODUÇÃO;AGUARDANDO APROVAÇÃO DOS DEPARTAMENTOS;EXTENSÃO;0;0;30;;;;
2017;CURSO;Curso de capacitação: Linha de Cuidado para a Atenção Integral à saúde de Crianças, Adolescentes e suas Famílias em Situação de Violências;2017-06-07;2017-06-08;NADJA DE SA PINTO DANTAS ROCHA;SAÚDE;AGUARDANDO APROVAÇÃO DOS DEPARTAMENTOS;EXTENSÃO;0;0;10;;;;
2017;CURSO;Curso de extensão sobre exame físico cardiovascular e pulmonar.;2017-10-20;2017-10-30;ANA LUISA BRANDAO DE CARVALHO LIRA;SAÚDE;AGUARDANDO APROVAÇÃO DOS DEPARTAMENTOS;EXTENSÃO;0;0;40;;;;
2017;CURSO;Excel Avançado;2017-10-14;2017-11-25;WATTSON JOSE SAENZ PERALES;TECNOLOGIA E PRODUÇÃO;AGUARDANDO APROVAÇÃO DOS DEPARTAMENTOS;EXTENSÃO;0;0;10;;;;
2017;CURSO;Fotografia, Linguagem e Memória: mural de imagens da Educação no Rio Grande do Norte;2017-06-12;2017-06-30;PABLO SEBASTIAN MOREIRA FERNANDEZ;EDUCAÇÃO;AGUARDANDO APROVAÇÃO DOS DEPARTAMENTOS;EXTENSÃO;0;0;15;;;;
2017;CURSO;INTRODUÇÃO À TECNOLOGIA SCRAMJET PARA PROPULSÃO HIPERSÔNICA ASPIRADA;2017-11-04;2017-12-02;GEORGE SANTOS MARINHO;TECNOLOGIA E PRODUÇÃO;AGUARDANDO APROVAÇÃO DOS DEPARTAMENTOS;EXTENSÃO;0;0;50;;;;
2017;CURSO;Psicologia da Saúde e Cinema: discussões para a atuação do psicólogo;2017-10-13;2017-11-30;EULALIA MARIA CHAVES MAIA;SAÚDE;AGUARDANDO APROVAÇÃO DOS DEPARTAMENTOS;EXTENSÃO;0;0;20;;;;
2017;CURSO;Qualificando o processo de trabalho no HUAB;2017-02-15;2017-12-31;MARIA CLAUDIA MEDEIROS DANTAS DE RUBIM COSTA;TECNOLOGIA E PRODUÇÃO;AGUARDANDO APROVAÇÃO DOS DEPARTAMENTOS;EXTENSÃO;0;0;60;;;;
2017;CURSO;Sexo e Turismo: olhares e perspectivas de pesquisa;2017-09-26;2017-09-29;RICARDO LANZARINI GOMES SILVA;EDUCAÇÃO;AGUARDANDO APROVAÇÃO DOS DEPARTAMENTOS;EXTENSÃO;0;0;10;;;;
2017;CURSO;VIII CURSO DE ELETROCARDIOGRAFIA CARDIOHUOL;2017-05-20;2017-05-27;ROSIANE VIANA ZUZA DINIZ;SAÚDE;AGUARDANDO APROVAÇÃO DOS DEPARTAMENTOS;EXTENSÃO;0;0;50;;;;
2017;CURSO;Análise exergoeconômica, Exergoambiental e Ciclo de vida;2017-06-01;2017-06-02;EDUARDO JOSÉ CIDADE CAVALCANTI;TECNOLOGIA E PRODUÇÃO;ANALISANDO SOLICITAÇÃO DE RECONSIDERAÇÃO;EXTENSÃO;0;0;2;;;;
2017;CURSO;Curso de Avaliação Antropométrica nos Ciclos da Vida;2017-07-18;2017-07-20;DALINE FERNANDES DE SOUZA ARAUJO;SAÚDE;ANALISANDO SOLICITAÇÃO DE RECONSIDERAÇÃO;EXTENSÃO;0;0;29;;;;
2017;CURSO;RECURSOS ENERGÉTICOS - CLIMA E SUSTENTABILIDADE ;2017-08-21;2017-12-22;ROSANE RODRIGUES CHAVES;MEIO AMBIENTE;ANALISANDO SOLICITAÇÃO DE RECONSIDERAÇÃO;EXTENSÃO;1;0;30;10;5;Edital 005/2017 - Cursos de Formação Continuada na modalidade a Distância;
2017;CURSO;Assistência Farmacêutica na atenção básica: atuação do auxiliar de farmácia;2017-04-18;2017-05-02;RAND RANDALL MARTINS;SAÚDE;APROVADO SEM RECURSOS;EXTENSÃO;0;0;10;;;;
2017;CURSO;Gestão de Riscos da Governança Corporativa em um Estabelecimento de Saúde;2017-09-01;2017-11-30;CLAUDIO BEZERRA DANTAS;TECNOLOGIA E PRODUÇÃO;APROVADO SEM RECURSOS;EXTENSÃO;2;0;50;20;2;Edital 003/2017 - PROEX/SEDIS - UFRN - Seleção de Cursos de Extensão à Distância;
2017;CURSO;O SUS não pode acabar;2017-09-12;2017-12-12;LUIZ ROBERTO AUGUSTO NORO;SAÚDE;APROVADO SEM RECURSOS;EXTENSÃO;2;0;10;20;2;Edital 003/2017 - PROEX/SEDIS - UFRN - Seleção de Cursos de Extensão à Distância;
2017;CURSO;A criança com deficiência visual nos espaços do brincar, cantar e contar: corpos em movimento.;2017-08-08;2017-09-15;LUZIA GUACIRA DOS SANTOS SILVA;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;20;;;;
2017;CURSO;Agilidade em Gestão Visual de Projetos;2017-05-30;2017-06-06;ANDRE MORAIS GURGEL;TECNOLOGIA E PRODUÇÃO;CONCLUÍDA;EXTENSÃO;0;0;5;;;;
2017;CURSO;A representação do negro em contos da literatura afro-americana: uma perspectiva dialógica;2017-04-20;2017-06-08;ORISON MARDEN BANDEIRA DE MELO JUNIOR;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;10;;;;
2017;CURSO;Atualização teórico-prática de métodos analíticos em microscopia e em estresse oxidativo.;2017-01-23;2017-01-27;RAIMUNDO FERNANDES DE ARAUJO JUNIOR;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;28;;;;
2017;CURSO;Aulas de musicalização e canto aos membros do Coral Infantil da UFRN (2017.1);2017-03-04;2017-05-27;DURVAL DA NOBREGA CESETTI;CULTURA;CONCLUÍDA;EXTENSÃO;0;0;3;;;;
2017;CURSO;Avaliação de desempenho do Programa Nacional de Melhoria do Acesso e da Qualidade da Atenção Básica (PMAQ);2017-06-06;2017-06-20;SEVERINA ALICE DA COSTA UCHOA;SAÚDE;CONCLUÍDA;EXTENSÃO;0;0;15;;;;
2017;CURSO;Avaliação de Políticas Públicas: enfoques metodológicos;2017-06-05;2017-06-07;THALES AUGUSTO MEDEIROS PENHA;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;10;;;;
2017;CURSO;¡A VIAJAR!;2017-08-07;2017-08-11;MARCIA REJANE DE OLIVEIRA;COMUNICAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;35;;;;
2017;CURSO;CICLO DE PALESTRAS E OFICINAS DE FAUNA MARINHA;2017-03-17;2017-05-29;SIMONE ALMEIDA GAVILAN LEANDRO DA COSTA;MEIO AMBIENTE;CONCLUÍDA;EXTENSÃO;0;0;15;;;;
2017;CURSO;Como escrever um trabalho científico;2017-01-30;2017-02-17;EDGAR PERIN MORAES;TECNOLOGIA E PRODUÇÃO;CONCLUÍDA;EXTENSÃO;0;0;40;;;;
2017;CURSO;COMUNICAÇÃO, CIÊNCIA E TECNOLOGIA;2017-04-24;2017-04-26;JUCIANO DE SOUSA LACERDA;COMUNICAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;22;;;;
2017;CURSO;Comunicação e política em Israel: de 1948 aos dias atuais;2017-03-15;2017-03-17;ADRIANO MEDEIROS COSTA;COMUNICAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;15;;;;
2017;CURSO;COSTURA CRIATIVA: artesanal x industrial;2017-07-03;2017-07-28;MARIA GORETE FELIPE;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;5;;;;
2017;CURSO;Cromatografia a Gás - Conceitos básicos e aplicações;2017-07-24;2017-07-28;TATIANA DE CAMPOS BICUDO;TECNOLOGIA E PRODUÇÃO;CONCLUÍDA;EXTENSÃO;0;0;30;;;;
2017;CURSO;CULTURA E HISTÓRIA DA MODA;2017-07-20;2017-08-10;MARIA GORETE FELIPE;CULTURA;CONCLUÍDA;EXTENSÃO;0;0;10;;;;
2017;CURSO;Curso Avançado e Conversação em Libras  Construindo Competências.;2017-04-12;2017-08-16;RONNY DIOGENES DE MENEZES;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;25;;;;
2017;CURSO;Curso Básico de AutoCAD 2007 2D: Módulo 1;2017-03-23;2017-06-23;JULIO GOMES JUNIOR;TECNOLOGIA E PRODUÇÃO;CONCLUÍDA;EXTENSÃO;0;0;24;;;;
2017;CURSO;CURSO BÁSICO DE PERCUSSÃO;2017-02-04;2017-06-17;GERMANNA FRANCA DA CUNHA;CULTURA;CONCLUÍDA;EXTENSÃO;0;0;5;;;;
2017;CURSO;CURSO DE CAPACITAÇÃO EM FLUIDOS DE PERFURAÇÃO, COMPLETAÇÃO E ESTIMULAÇÃO DE POÇOS DE PETRÓLEO;2017-03-22;2017-08-03;ROSANGELA DE CARVALHO BALABAN;TECNOLOGIA E PRODUÇÃO;CONCLUÍDA;EXTENSÃO;0;0;7;;;;
2017;CURSO;Curso de Dissecção de Pé e tornozelo;2017-07-10;2017-07-21;EXPEDITO SILVA DO NASCIMENTO JUNIOR;SAÚDE;CONCLUÍDA;EXTENSÃO;0;0;30;;;;
2017;CURSO;CURSO DE ESTUDOS AVANÇADOS EM ANÁLISE TEXTUAL DOS DISCURSOS;2017-08-14;2017-08-18;MARIA DAS GRACAS SOARES RODRIGUES;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;30;;;;
2017;CURSO;Curso de Excel Avançado;2017-07-03;2017-07-14;WATTSON JOSE SAENZ PERALES;TECNOLOGIA E PRODUÇÃO;CONCLUÍDA;EXTENSÃO;0;0;20;;;;
2017;CURSO;Curso de férias: Arqueologia e Patrimônio Arqueológico do Nordeste Brasileiro;2017-01-23;2017-01-25;MOYSES MARCIONILO DE SIQUEIRA NETO;CULTURA;CONCLUÍDA;EXTENSÃO;0;0;20;;;;
2017;CURSO;Curso de Férias em Pediatria básica/Cardiologia 2017;2017-01-02;2017-02-03;GISELE CORREIA PACHECO LEITE;SAÚDE;CONCLUÍDA;EXTENSÃO;0;0;10;;;;
2017;CURSO;Curso de Formação de Tutores e Professores Mediadores;2017-04-24;2017-06-27;ANDREZA SOUZA SANTOS;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;10;;;;
2017;CURSO;Curso de Hematologia - Anemias e Leucemias;2017-05-20;2017-06-24;IVANISE MARINA MORETTI REBECCHI;SAÚDE;CONCLUÍDA;EXTENSÃO;0;0;10;;;;
