"titulo";"produto_gerado";"tiragem";"situacao";"tipo_projeto";"tipo_produto";"ano";"data_inicio";"data_fim";"unidade";"forma_projeto";"area_principal";"area_conhecimento_cnpq";"quantidade_discente";"publico_estimado";"bolsas_concedidas";
"3ª edição da Revista Transgressões: Ciências Criminais em Debate";"";"1";"CONCLUÍDA";"PRODUTO";"REVISTA";"2014";"2014-01-01";"2014-05-20";"DEPARTAMENTO DE DIREITO PUBLICO";"INTERNO";"DIREITOS HUMANOS E JUSTIÇA";"Ciências Sociais Aplicadas";"18";"50";"0";
" Acidentes na Infância: Como prevenir?";"";"2";"CONCLUÍDA";"PRODUTO";"OUTROS";"2014";"2014-09-22";"2015-09-22";"DEPARTAMENTO DE PEDIATRIA";"INTERNO";"SAÚDE";"Ciências da Saúde";"5";"500";"0";
"Aconteceu quando ainda não estávamos aqui: Depoimento de quem viveu o regime militar para quem não o viu.";"";"300";"CONCLUÍDA";"PRODUTO";"PRODUTO AUDIOVISUAL - VÍDEO";"2014";"2014-11-19";"2014-12-04";"DEPARTAMENTO DE COMUNICAÇÃO SOCIAL";"INTERNO";"COMUNICAÇÃO";"Ciências Sociais Aplicadas";"34";"1140";"0";
"Adesivo com orientações para as mães na alta da maternidade";"Programa de Ações e Práticas Inovadoras de Ensino do Departamento de Pediatria da UFRN";"100";"CONCLUÍDA";"PRODUTO";"OUTROS";"2012";"2012-09-03";"2012-10-21";"DEPARTAMENTO DE PEDIATRIA";"INTERNO";"SAÚDE";"Ciências da Saúde";"5";"17";"0";
"Adolescentes grávidas do RN é tema de pesquisa de professora do Centro de Biociências";"Atividade: desenvolvimento de uma atividade entre alunos do curso de direito da UFRN e do curso de Medicina da UFRNncias";"1";"CONCLUÍDA";"PRODUTO";"COMUNICAÇÃO";"2016";"2016-12-01";"2016-12-30";"DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA";"INTERNO";"DIREITOS HUMANOS E JUSTIÇA";"Ciências Exatas e da Terra";"1";"10";"0";
"A EFICIÊNCIA FINANCEIRA E ESPORTIVA DOS MAIORES CLUBES DE FUTEBOL EUROPEUS UTILIZANDO A ANÁLISE ENVOLTÓRIA DE DADOS";"";"0";"CONCLUÍDA";"PRODUTO";"ARTIGO";"2012";"2011-08-01";"2012-01-31";"DEPARTAMENTO DE CIÊNCIAS CONTÁBEIS";"INTERNO";"TECNOLOGIA E PRODUÇÃO";"Ciências Sociais Aplicadas";"1";"100";"0";
"A ESCOLA PÚBLICA COMO ORGANIZAÇÃO TRANSFORMADORA: POLÍTICAS NA ÁREA DA EDUCAÇÃO PARA REDUÇÃO DA VIOLÊNCIA INFANTO-JUVENIL";"Planejamento Estratégico Situacional na Administração Pública: enfoque em escolas pública, 3° edição.";"2";"CONCLUÍDA";"PRODUTO";"ARTIGO";"2016";"2016-09-02";"2016-12-03";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS";"INTERNO";"TECNOLOGIA E PRODUÇÃO";"Ciências Sociais Aplicadas";"1";"14";"0";
"AME: verbo no imperativo que ordena amar.";"Trabalho final da disciplina "Deficiência no Contexto da Sociedade";"1";"CONCLUÍDA";"PRODUTO";"PRODUTO AUDIOVISUAL - VÍDEO";"2015";"2015-12-03";"2015-12-03";"DEPARTAMENTO DE FISIOTERAPIA";"INTERNO";"SAÚDE";"Ciências da Saúde";"7";"30";"0";
"ANÁLISE BIBLIOMÉTRICA DA PRODUÇÃO CIENTÍFICA RECENTE SOBRE CONTABILIDADE GERENCIAL";"";"1";"CONCLUÍDA";"PRODUTO";"ARTIGO";"2012";"2012-05-01";"2012-05-31";"DEPARTAMENTO DE CIÊNCIAS CONTÁBEIS";"INTERNO";"EDUCAÇÃO";"Ciências Sociais Aplicadas";"1";"100";"0";
"ANÁLISE DA EFICIÊNCIA DAS UNIDADES DE SAÚDE DA FAMÍLIA (USF) DO MUNICÍPIO DE NATAL/RN";"Análise de ferramentas e práticas de inovação na gestão pública";"2";"CONCLUÍDA";"PRODUTO";"ARTIGO";"2016";"2016-10-03";"2016-10-29";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS";"INTERNO";"TECNOLOGIA E PRODUÇÃO";"Ciências Sociais Aplicadas";"1";"20";"0";
