"id_turma";"codigo";"nome_ascii";"docente_interno";"docente_externo";"nivel_ensino";"ano";"periodo";"capacidade_aluno";"local";"data_inicio";"data_fim";"codigo_turma";"descricao_horario";"observacao";"distancia";"tipo";"data_consolidacao";"agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";"campus_turma";
"57593168";"MUT0101";"LINGUAGEM E ESTRUTURACAO MUSICAL I";"6461327529e0404944cd1295b7f81b1f";"";"TÉCNICO";"2017";"1";"50";"Sala 24";"2017-02-13";"2017-06-17";"01";"2T12";"";"f";"1";"2017-07-03 19:50:39.259";"f";"26";"CONSOLIDADA";"";"Presencial";"";
"57593169";"MUT0101";"LINGUAGEM E ESTRUTURACAO MUSICAL I";"f3db137cfe62d6556e92aadcee290b1c";"";"TÉCNICO";"2017";"1";"50";"Sala 24";"2017-02-13";"2017-06-17";"02";"4T12";"";"f";"1";"2017-07-05 08:17:47.229";"f";"34";"CONSOLIDADA";"";"Presencial";"";
"57593170";"MUT0103";"LINGUAGEM E ESTRUTURACAO MUSICAL III";"f3db137cfe62d6556e92aadcee290b1c";"";"TÉCNICO";"2017";"1";"50";"Sala 24";"2017-01-30";"2017-06-17";"01";"3T56";"";"f";"1";"";"f";"";"EXCLUÍDA";"";"Presencial";"";
"57593172";"MUT310";"APRECIACAO MUSICAL I";"40831b01609dda6af0b3083ec69fefcd";"";"TÉCNICO";"2017";"1";"30";"Sala 25";"2017-01-30";"2017-06-17";"01";"2T3456";"Disciplina destinada aos alunos ingressantes até 2015.1.
*Grade curricular antiga.";"f";"1";"";"f";"";"EXCLUÍDA";"";"Presencial";"";
"57593173";"MUT477";"ARRANJOS I";"6a0f897c4c2000ff33a580db781815bd";"";"TÉCNICO";"2017";"1";"20";"LAMUCO";"2017-02-13";"2017-07-01";"01";"3T34";"";"f";"1";"2017-07-05 17:37:03.708";"f";"36";"CONSOLIDADA";"";"Presencial";"";
"57593174";"MUT103";"CANTO III";"470aeab0633608d0d9b1b315f085586f";"";"TÉCNICO";"2017";"1";"3";"Sala 21";"2017-02-13";"2017-07-01";"01";"3T123";"";"f";"1";"2017-06-27 19:31:30.227";"f";"57";"CONSOLIDADA";"";"Presencial";"";
"57593175";"MUT103";"CANTO III";"b56b71a3bc20550ebe1a75f19fd0a9a5";"";"TÉCNICO";"2017";"1";"3";"Sala 21";"2017-02-13";"2017-07-01";"02";"6T123";"";"f";"1";"2017-07-04 16:07:46.416";"f";"6";"CONSOLIDADA";"";"Presencial";"";
"57593176";"MUT103";"CANTO III";"470aeab0633608d0d9b1b315f085586f";"";"TÉCNICO";"2017";"1";"3";"Sala 21";"2017-02-13";"2017-07-01";"03";"5T456";"";"f";"1";"2017-06-27 19:34:16.155";"f";"51";"CONSOLIDADA";"";"Presencial";"";
"57593177";"MUT103";"CANTO III";"d14040f873aee03fde93fb67d01970d9";"";"TÉCNICO";"2017";"1";"4";"Sala 03";"2017-02-13";"2017-07-01";"04";"3T123";"Canto Popular";"f";"1";"2017-06-29 09:56:08.371";"f";"57";"CONSOLIDADA";"";"Presencial";"";
"57593178";"MUT408";"CANTO V";"d14040f873aee03fde93fb67d01970d9";"";"TÉCNICO";"2017";"1";"3";"Sala 03";"2017-02-13";"2017-07-01";"01";"4T123";"";"f";"1";"2017-06-29 09:58:27.762";"f";"18";"CONSOLIDADA";"";"Presencial";"";
"57593179";"MUT408";"CANTO V";"d14040f873aee03fde93fb67d01970d9";"";"TÉCNICO";"2017";"1";"3";"Sala 03";"2017-02-13";"2017-07-01";"02";"4T456";"";"f";"1";"2017-06-29 09:59:57.612";"f";"18";"CONSOLIDADA";"";"Presencial";"";
"57593180";"MUT408";"CANTO V";"470aeab0633608d0d9b1b315f085586f";"";"TÉCNICO";"2017";"1";"3";"Sala 21";"2017-02-13";"2017-07-01";"03";"3T456";"";"f";"1";"2017-06-27 19:36:17.575";"f";"57";"CONSOLIDADA";"";"Presencial";"";
"57593183";"MUT0029";"MUSICA BRASILEIRA";"40831b01609dda6af0b3083ec69fefcd";"";"TÉCNICO";"2017";"1";"35";"Sala 25";"2017-02-13";"2017-06-17";"01";"3T45";"";"f";"1";"2017-06-22 14:21:06.644";"f";"34";"CONSOLIDADA";"";"Presencial";"";
"57593185";"MUT701";"PRATICA DE ESTUDIO I";"f6fef3430914b706965525d97bfa9fc7";"";"TÉCNICO";"2017";"1";"6";"ESTÚDIO";"2017-02-13";"2017-07-01";"01";"3T23456";"";"f";"1";"2017-06-20 07:59:27.155";"f";"70";"CONSOLIDADA";"";"Presencial";"";
"57593186";"MUT0024";"PRATICA DE ESTUDIO III";"f6fef3430914b706965525d97bfa9fc7";"";"TÉCNICO";"2017";"1";"7";"ESTÚDIO";"2017-01-30";"2017-06-17";"01";"3T23456";"";"f";"1";"";"f";"";"EXCLUÍDA";"";"Presencial";"";
