Cod,Nome,Grande Área
1.00.00.00-3,Ciências Exatas e da Terra,Ciências Exatas e da Terra
1.01.00.00-8,Matemática,Ciências Exatas e da Terra
1.01.01.00-4,Álgebra,Ciências Exatas e da Terra
1.01.01.01-2,Conjuntos,Ciências Exatas e da Terra
1.01.01.02-0,Lógica Matemática,Ciências Exatas e da Terra
1.01.01.03-9,Teoria dos Números,Ciências Exatas e da Terra
1.01.01.04-7,Grupos de Algebra Não-Comutaviva,Ciências Exatas e da Terra
1.01.01.05-5,Algebra Comutativa,Ciências Exatas e da Terra
1.01.01.06-3,Geometria Algebrica,Ciências Exatas e da Terra
1.01.02.00-0,Análise,Ciências Exatas e da Terra
1.01.02.01-9,Análise Complexa,Ciências Exatas e da Terra
1.01.02.02-7,Análise Funcional,Ciências Exatas e da Terra
1.01.02.03-5,Análise Funcional Não-Linear,Ciências Exatas e da Terra
1.01.02.04-3,Equações Diferênciais Ordinárias,Ciências Exatas e da Terra
1.01.02.05-1,Equações Diferênciais Parciais,Ciências Exatas e da Terra
1.01.02.06-0,Equações Diferênciais Funcionais,Ciências Exatas e da Terra
1.01.03.00-7,Geometria e Topologia,Ciências Exatas e da Terra
1.01.03.01-5,Geometria Diferêncial,Ciências Exatas e da Terra
1.01.03.02-3,Topologia Algébrica,Ciências Exatas e da Terra
1.01.03.03-1,Topologia das Variedades,Ciências Exatas e da Terra
1.01.03.04-0,Sistemas Dinâmicos,Ciências Exatas e da Terra
1.01.03.05-8,Teoria das Singularidades e Teoria das Catástrofes,Ciências Exatas e da Terra
1.01.03.06-6,Teoria das Folheações,Ciências Exatas e da Terra
1.01.04.00-3,Matemática Aplicada,Ciências Exatas e da Terra
1.01.04.01-1,Física Matemática,Ciências Exatas e da Terra
1.01.04.02-0,Análise Numérica,Ciências Exatas e da Terra
1.01.04.03-8,Matemática Discreta e Combinatoria,Ciências Exatas e da Terra
1.02.00.00-2,Probabilidade e Estatística,Ciências Exatas e da Terra
1.02.01.00-9,Probabilidade,Ciências Exatas e da Terra
1.02.01.01-7,Teoria Geral e Fundamentos da Probabilidade,Ciências Exatas e da Terra
1.02.01.02-5,Teoria Geral e Processos Estocásticos,Ciências Exatas e da Terra
1.02.01.03-3,Teoremas de Limite,Ciências Exatas e da Terra
1.02.01.04-1,Processos Markovianos,Ciências Exatas e da Terra
1.02.01.05-0,Análise Estocástica,Ciências Exatas e da Terra
1.02.01.06-8,Processos Estocásticos Especiais,Ciências Exatas e da Terra
1.02.02.00-5,Estatística,Ciências Exatas e da Terra
1.02.02.01-3,Fundamentos da Estatística,Ciências Exatas e da Terra
1.02.02.02-1,Inferência Paramétrica,Ciências Exatas e da Terra
1.02.02.03-0,Inferência Nao-Paramétrica,Ciências Exatas e da Terra
1.02.02.04-8,Inferência em Processos Estocásticos,Ciências Exatas e da Terra
1.02.02.05-6,Análise Multivariada,Ciências Exatas e da Terra
1.02.02.06-4,Regressão e Correlação,Ciências Exatas e da Terra
1.02.02.07-2,Planejamento de Experimentos,Ciências Exatas e da Terra
1.02.02.08-0,Análise de Dados,Ciências Exatas e da Terra
1.02.03.00-1,Probabilidade e Estatística Aplicadas,Ciências Exatas e da Terra
1.03.00.00-7,Ciência da Computação,Ciências Exatas e da Terra
1.03.01.00-3,Teoria da Computação,Ciências Exatas e da Terra
1.03.01.01-1,Computabilidade e Modelos de Computação,Ciências Exatas e da Terra
1.03.01.02-0,Linguagem Formais e Automatos,Ciências Exatas e da Terra
1.03.01.03-8,Análise de Algoritmos e Complexidade de Computação,Ciências Exatas e da Terra
1.03.01.04-6,Lógicas e Semântica de Programas,Ciências Exatas e da Terra
1.03.02.00-0,Matemática da Computação,Ciências Exatas e da Terra
1.03.02.01-8,Matemática Simbólica,Ciências Exatas e da Terra
1.03.02.02-6,Modelos Analíticos e de Simulação,Ciências Exatas e da Terra
1.03.03.00-6,Metodologia e Técnicas da Computação,Ciências Exatas e da Terra
1.03.03.01-4,Linguagens de Programação,Ciências Exatas e da Terra
1.03.03.02-2,Engenharia de Software,Ciências Exatas e da Terra
1.03.03.03-0,Banco de Dados,Ciências Exatas e da Terra
1.03.03.04-9,Sistemas de Informação,Ciências Exatas e da Terra
1.03.03.05-7,Processamento Gráfico (Graphics),Ciências Exatas e da Terra
1.03.04.00-2,Sistemas de Computação,Ciências Exatas e da Terra
1.03.04.01-0,Hardware,Ciências Exatas e da Terra
1.03.04.02-9,Arquitetura de Sistemas de Computação,Ciências Exatas e da Terra
1.03.04.03-7,Software Básico,Ciências Exatas e da Terra
1.03.04.04-5,Teleinformática,Ciências Exatas e da Terra
1.04.00.00-1,Astronomia,Ciências Exatas e da Terra
1.04.01.00-8,Astronomia de Posição e Mecânica Celeste,Ciências Exatas e da Terra
1.04.01.01-6,Astronomia Fundamental,Ciências Exatas e da Terra
1.04.01.02-4,Astronomia Dinâmica,Ciências Exatas e da Terra
1.04.02.00-4,Astrofísica Estelar,Ciências Exatas e da Terra
1.04.03.00-0,Astrofísica do Meio Interestelar,Ciências Exatas e da Terra
1.04.03.01-9,Meio Interestelar,Ciências Exatas e da Terra
1.04.03.02-7,Nebulosa,Ciências Exatas e da Terra
1.04.04.00-7,Astrofísica Extragaláctica,Ciências Exatas e da Terra
1.04.04.01-5,Galáxias,Ciências Exatas e da Terra
