"tipo_componente";"codigo";"nivel";"nome";"unidade_responsavel";"ch_teorico";"ch_pratico";"ch_estagio";"ch_total";"ch_dedicada_docente";"ch_ead";"ementa";"bibliografia";"equivalencia";"pre_requisito";"co_requisito";"objetivos";"conteudo";"competencias_habilidades";"referencias";"ano_programa";"periodo_programa";"procedimentos_avaliacao";"modalidade";"curso_componente";
"DISCIPLINA";"ADM1009";"G";"MATEMATICA FINANCEIRA";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS";"0";"0";"0";"60";"60";"60";"          Capitalizações simples e composta. Descontos simples e compostos. Rendas certas. Rendas variáveis. Taxa interna de retorno. Equivalência de fluxos de caixa. Amortização de empréstimos. Noções de análise de investimento. Correção monetária.";"";"( ADM0422 ) ";"";"";"Capitalizações simples e composta. Descontos simples e compostos. Rendas certas. Rendas variáveis. Taxa interna de retorno. Equivalência de fluxos de caixa. Amortização de empréstimos. Noções de análise de investimento. Correção monetária.";"Capitalizações simples e composta. Descontos simples e compostos. Rendas certas. Rendas variáveis. Taxa interna de retorno. Equivalência de fluxos de caixa. Amortização de empréstimos. Noções de análise de investimento. Correção monetária.";"Capitalizações simples e composta. Descontos simples e compostos. Rendas certas. Rendas variáveis. Taxa interna de retorno. Equivalência de fluxos de caixa. Amortização de empréstimos. Noções de análise de investimento. Correção monetária.";"";"2016";"2";"";"A Distância";"";
"DISCIPLINA";"ADM1028";"G";"METODOLOGIA DA PESQUISA";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS";"0";"0";"0";"60";"60";"60";"Abordar as técnicas e métodos de desenvolvimento de pesquisa seja quantitativa (tipo survey) quanto qualitativa (estudo de caso). Instrumentos de coleta de dados. Procedimentos de análise dos dados. Estrutura de um trabalho de conclusão de curso (TCC).";"";"( ADM0500 ) ";"";"";"Abordar as técnicas e métodos de desenvolvimento de pesquisa seja quantitativa (tipo survey) quanto qualitativa (estudo de caso). Instrumentos de coleta de dados. Procedimentos de análise dos dados. Estrutura de um trabalho de conclusão de curso (TCC).";"Abordar as técnicas e métodos de desenvolvimento de pesquisa seja quantitativa (tipo survey) quanto qualitativa (estudo de caso). Instrumentos de coleta de dados. Procedimentos de análise dos dados. Estrutura de um trabalho de conclusão de curso (TCC).";"Abordar as técnicas e métodos de desenvolvimento de pesquisa seja quantitativa (tipo survey) quanto qualitativa (estudo de caso). Instrumentos de coleta de dados. Procedimentos de análise dos dados. Estrutura de um trabalho de conclusão de curso (TCC).";"";"2016";"2";"";"A Distância";"";
"DISCIPLINA";"ADM1027";"G";"INFORMATICA BASICA";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS";"0";"0";"0";"60";"60";"60";"Estrutura de computadores. Linguagens de programação. Aplicativos: processadores de textos, bancos de dados e planilha eletrônica, apresentação de slides. Internet e páginas web. Correio Eletrônico: uso corporativo, atividades em grupo.";"";"( ADM0502 ) ";"";"";"";"";"";"";"";"";"";"A Distância";"";
"DISCIPLINA";"ECO1001";"G";"ECONOMIA ( INTRODUCAO )";"DEPARTAMENTO DE ECONOMIA";"0";"0";"0";"60";"60";"60";"          Conceitos fundamentais de economia. Valor. Mensuração da atividade econômica. Repartição da renda. Introdução a teoria monetária. Noções de Comércio Internacional. Funções do setor público. Evolução do Pensamento Econômico.";"";"( ECO0312 ) ";"";"";"Conceitos fundamentais de economia. Valor. Mensuração da atividade econômica. Repartição da renda. Introdução a teoria monetária. Noções de Comércio Internacional. Funções do setor público. Evolução do Pensamento Econômico.
";"Conceitos fundamentais de economia. Valor. Mensuração da atividade econômica. Repartição da renda. Introdução a teoria monetária. Noções de Comércio Internacional. Funções do setor público. Evolução do Pensamento Econômico.
";"Conceitos fundamentais de economia. Valor. Mensuração da atividade econômica. Repartição da renda. Introdução a teoria monetária. Noções de Comércio Internacional. Funções do setor público. Evolução do Pensamento Econômico.
";"";"2016";"2";"";"A Distância";"";
"DISCIPLINA";"EST1001";"G";"ESTATISTICA APLICADA A ADMINISTRACAO";"DEPARTAMENTO DE ESTATISTICA";"0";"0";"0";"60";"60";"60";"Probabilidade: Conceito, axiomas e teoremas fundamentais. Variáveis aleatórias. Distribuições de probabilidade. Estatística descritiva. Distribuições teóricas e empíricas. Distribuições unidimensionais e bidimensionais. Introdução à Teoria da Amostragem, principais esquemas. Inferência Estatística: Processos de decisão, Teoria da Estimação, Testes de Hipóteses e Análise de Variância.";"";"( EST0220 ) ";"";"";"APRESENTAR CONCEITOS BÁSICOS DE ESTATÍSTICA PARA QUE O ALUNO POSSA APLICAR EM SUA ÁREA DE CONHECIMENTO";"1 - Fases do Método Estatístico; Conceitos importantes: População e amostra. tipos de variáveis. Amostragem Probabilística e Não-probabilística; Distribuições de Frequências e apresentação tabular e gráfica.

2 - Medidas de Posição  Conceitos e aplicações das medidas Média Aritmética, Moda (Mo), Mediana (Md) e Separatrizes; Medidas de Dispersão  Conceitos e aplicações de Amplitude total, Variância, Desvio Padrão e Coeficiente de Variação;

3 - Probabilidade: Conceitos e definições de Experimento Aleatório; Espaço Amostral, Evento, Probabilidade Condicional e Regra do Produto; Distribuições de Probabilidade Discretas e Contínuas: Distribuição Binomial e Distribuição Normal.

4 - Distribuições de Probabilidade Discretas e Contínuas: Distribuições Amostrais; Noções de Estimação (estimaçao por intervalos); Testes de hipóteses: Introdução; Estrutura dos Testes de Hipóteses; Teste de Hipóteses para Média e Proporção e Teste de Hipóteses para a Diferença entre Médias.";"TORNAR O ALUNO CAPAZ DE COMPREENDER OS MÉTODOS ESTATÍSTICOS E APLICAR EM SUA ÁREA DE ATUAÇÃO.";"";"2016";"2";"";"A Distância";"";
"DISCIPLINA";"ADM1021";"G";"FINANCAS PUBLICAS";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS";"0";"0";"0";"60";"60";"60";"As atribuições econômicas e as atividades financeiras do Estado. Fenômenos financeiros. A renda nacional: formação e gasto. Controle estatal. Wagner e a lei dos dispêndios crescentes. Os serviços públicos. Crédito e dívida pública externa e interna. O sistema financeiro Nacional. Déficit público e mecanismos de controle. Orçamento Público: instrumentos de planejamento, princípios, ciclo orçamentário, processo orçamentário, mecanismos de alteração. Receita Pública. Despesa Pública. Crédito Público.";"";"";"";"";".";".";".";"";"2015";"2";"";"A Distância";"";
"DISCIPLINA";"ADM1025";"G";"ELABORACAO E ADMINISTRACAO DE PROJETOS";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS";"0";"0";"0";"60";"60";"60";"Planejamento, programa e controle de projetos e produtos especiais, produzidos sob encomenda. Organização geral. Técnicas de Gantt, CPM, PERT/TEMPO e PERT/CUSTO. Uso de software para gerenciamento de projetos.";"";"";"";"";"Planejamento, programa e controle de projetos e produtos especiais, produzidos sob encomenda. Organização geral. Técnicas de Gantt, CPM, PERT/TEMPO e PERT/CUSTO. Uso de software para gerenciamento de projetos.
";"Planejamento, programa e controle de projetos e produtos especiais, produzidos sob encomenda. Organização geral. Técnicas de Gantt, CPM, PERT/TEMPO e PERT/CUSTO. Uso de software para gerenciamento de projetos.
";"Planejamento, programa e controle de projetos e produtos especiais, produzidos sob encomenda. Organização geral. Técnicas de Gantt, CPM, PERT/TEMPO e PERT/CUSTO. Uso de software para gerenciamento de projetos.
";"";"2016";"2";"";"A Distância";"";
"DISCIPLINA";"ADM1030";"G";"CIENCIA POLITICA";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS";"0";"0";"0";"60";"60";"60";"          Planejamento e tomada de decisões. Decisões políticas, estratégicas, táticas e operacionais. Análise política: estudo das categorias, conceitos e problemas básicos da ciência política, tais como: dominação, poder, conflito, autoridade e legitimidade. Política, participação e informação. Sistema político clássico e contemporâneo e sua influência em políticas empresariais.";"";"";"";"";"";"";"";"";"";"";"";"A Distância";"";
"DISCIPLINA";"EDB0001";"G";"BIODIVERSIDADE";"DEPARTAMENTO DE BIOLOGIA";"0";"0";"0";"60";"0";"60";"         6";"";"( BEZ0081 ) ";"";"";"";"";"";"";"";"";"";"A Distância";"";
"DISCIPLINA";"EDE0001";"G";"EDUCACAO E REALIDADE";"DEPARTAMENTO DE EDUCAÇÃO";"0";"15";"0";"60";"0";"45";"         7";"";"( FPD0001 ) ";"";"";"";"";"";"";"";"";"";"A Distância";"";
