"id_turma";"codigo";"nome_ascii";"docente_interno";"docente_externo";"nivel_ensino";"ano";"periodo";"capacidade_aluno";"local";"data_inicio";"data_fim";"codigo_turma";"descricao_horario";"observacao";"distancia";"tipo";"data_consolidacao";"agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";"campus_turma";
"57581492";"GPU0009";"INOVACAO NA GESTAO DE POLITICAS PUBLICAS";"29060d5df3696c9b7f975a9cd50c836a";"";"LATO SENSU";"2016";"2";"50";"Escola de Governo do Estado do Rio Grande do Norte";"2016-08-09";"2016-08-27";"01";"7M2345  35T23456 7T1";"";"f";"1";"2016-10-05 08:43:06.182";"f";"30";"CONSOLIDADA";"";"Presencial";"";
"57583343";"MUT311";"APRECIACAO MUSICAL II";"40831b01609dda6af0b3083ec69fefcd";"";"TÉCNICO";"2016";"2";"30";"Sala 25";"2016-07-25";"2016-12-10";"01";"2T1234";"";"f";"1";"2016-12-15 23:53:48.42";"f";"72";"CONSOLIDADA";"";"Presencial";"";
"57583344";"MUT491";"ARRANJOS II";"6a0f897c4c2000ff33a580db781815bd";"";"TÉCNICO";"2016";"2";"20";"LAMUCO";"2016-07-25";"2016-12-10";"01";"3T34";"";"f";"1";"2016-12-15 12:55:10.914";"f";"34";"CONSOLIDADA";"";"Presencial";"";
"57583345";"MUT102";"CANTO II";"470aeab0633608d0d9b1b315f085586f";"";"TÉCNICO";"2016";"2";"3";"Sala 21";"2016-07-25";"2016-12-10";"01";"3T123";"";"f";"1";"2016-12-09 20:33:13.635";"f";"57";"CONSOLIDADA";"";"Presencial";"";
"57583346";"MUT102";"CANTO II";"b56b71a3bc20550ebe1a75f19fd0a9a5";"";"TÉCNICO";"2016";"2";"3";"Sala 21";"2016-07-25";"2016-12-10";"02";"6T456";"";"f";"1";"2016-12-16 10:26:34.249";"f";"51";"CONSOLIDADA";"";"Presencial";"";
"57583347";"MUT102";"CANTO II";"470aeab0633608d0d9b1b315f085586f";"";"TÉCNICO";"2016";"2";"3";"Sala 21";"2016-07-25";"2016-12-10";"03";"5T456";"";"f";"1";"2016-12-09 20:38:21.788";"f";"54";"CONSOLIDADA";"";"Presencial";"";
"57583348";"MUT102";"CANTO II";"d14040f873aee03fde93fb67d01970d9";"";"TÉCNICO";"2016";"2";"4";"Sala 03";"2016-07-25";"2016-12-10";"04";"3T123";"";"f";"1";"2016-12-08 11:00:36.517";"f";"54";"CONSOLIDADA";"";"Presencial";"";
"57583349";"MUT104";"CANTO IV";"d14040f873aee03fde93fb67d01970d9";"";"TÉCNICO";"2016";"2";"3";"Sala 03";"2016-07-25";"2016-12-10";"01";"4T123";"";"f";"1";"2016-12-08 11:06:13.699";"f";"48";"CONSOLIDADA";"";"Presencial";"";
"57583350";"MUT104";"CANTO IV";"d14040f873aee03fde93fb67d01970d9";"";"TÉCNICO";"2016";"2";"3";"Sala 03";"2016-07-25";"2016-12-10";"02";"4T456";"";"f";"1";"2016-12-08 11:08:47.217";"f";"48";"CONSOLIDADA";"";"Presencial";"";
"57583351";"MUT104";"CANTO IV";"470aeab0633608d0d9b1b315f085586f";"";"TÉCNICO";"2016";"2";"3";"Sala 21";"2016-07-25";"2016-12-10";"03";"3T456";"";"f";"1";"2016-12-09 20:44:51.072";"f";"57";"CONSOLIDADA";"";"Presencial";"";
"57583352";"MUT497";"RECITAL";"b56b71a3bc20550ebe1a75f19fd0a9a5";"";"TÉCNICO";"2016";"2";"3";"Sala 21";"2016-07-25";"2016-12-10";"01";"6T123";"Canto Erudito";"f";"1";"";"f";"";"EXCLUÍDA";"";"Presencial";"";
"57583353";"MUT497";"RECITAL";"b56b71a3bc20550ebe1a75f19fd0a9a5";"";"TÉCNICO";"2016";"2";"3";"Sala 21";"2016-07-25";"2016-12-10";"02";"2T456";"Canto Erudito";"f";"1";"2016-12-17 07:27:48.219";"f";"54";"CONSOLIDADA";"";"Presencial";"";
"57583354";"MUT497";"RECITAL";"470aeab0633608d0d9b1b315f085586f";"";"TÉCNICO";"2016";"2";"3";"Sala 21";"2016-07-25";"2016-12-10";"03";"5T123";"Canto Erudito";"f";"1";"2016-12-09 20:42:17.795";"f";"60";"CONSOLIDADA";"";"Presencial";"";
"57583355";"MUT497";"RECITAL";"b56b71a3bc20550ebe1a75f19fd0a9a5";"";"TÉCNICO";"2016";"2";"3";"Sala 21";"2016-07-25";"2016-12-10";"04";"4T456";"Canto Erudito";"f";"1";"2016-12-17 07:32:03.384";"f";"33";"CONSOLIDADA";"";"Presencial";"";
"57583356";"MUT497";"RECITAL";"6da8ba265915226e7210eb28a6ec05e0";"";"TÉCNICO";"2016";"2";"3";"Sala 03";"2016-07-25";"2016-12-10";"05";"6T123";"Canto Erudito";"f";"1";"";"f";"";"EXCLUÍDA";"";"Presencial";"";
"57583357";"MUT551";"HARMONIA FUNCIONAL E IMPROVISACAO II";"63916d74c5c35b3353b17075db8e0de7";"";"TÉCNICO";"2016";"2";"31";"Sala 24";"2016-07-25";"2016-12-10";"01";"6T56";"";"f";"1";"2016-12-12 15:15:21.894";"f";"38";"CONSOLIDADA";"";"Presencial";"";
"57583358";"MUT461";"HARMONIA II";"ff48dcc2944f19e4fb11d68b1462a0f5";"";"TÉCNICO";"2016";"2";"30";"Sala 23";"2016-07-25";"2016-12-10";"01";"6T34";"";"f";"1";"2016-12-16 11:12:38.019";"f";"30";"CONSOLIDADA";"";"Presencial";"";
