"codigo";"base_pesquisa";"coordenador";"area_conhecimento_cnpq";"situacao";
"GED239-10";"Ações promocionais e de atenção a grupos humanos em Saúde Mental e Saúde Coletiva";"FRANCISCO ARNOLDO NUNES DE MIRANDA";"Enfermagem";"EM CONSOLIDACÃO";
"GCG111-04";"AGROECOLOGIA E DESENVOLVIMENTO SUSTENTÁVEL NO SEMIÁRIDO (CAATINGUEIROS)";"MAGDA MARIA GUILHERMINO";"Zootecnia";"CONSOLIDADO";
"GCD109-01";"ALIMENTOS, NUTRIÇÃO E SAÚDE";"KARINE CAVALCANTI MAURICIO DE SENA EVANGELISTA";"Nutrição";"CONSOLIDADO";
"GEA282-12";"Alterações morfológicas, modulação farmacêutica e nanomedicina";"RAIMUNDO FERNANDES DE ARAUJO JUNIOR";"Morfologia";"EM CONSOLIDACÃO";
"GEE404-16";"Ambiente, Turismo e Sustentabilidade";"KETTRIN FARIAS BEM MARACAJA";"Turismo";"EM CONSOLIDACÃO";
"GCC055-05";"Análise textual dos discursos em Educação";"JOAO GOMES DA SILVA NETO";"Lingüística, Letras e Artes";"CONSOLIDADO";
"GEI251-10";"Aquicultura Sustentável Nordeste - AquiS - NE";"DARLIO INACIO ALVES TEIXEIRA";"Ciências Agrárias";"EM CONSOLIDACÃO";
"GCB074-90";"ASTROFÍSICA E COSMOLOGIA";"JOSE DIAS DO NASCIMENTO JUNIOR";"Astronomia";"CONSOLIDADO";
"GED258-11";"Atenção à Saúde Infanto Juvenil, Mulher e Homem";"NILBA LIMA DE SOUZA";"Enfermagem";"EM CONSOLIDACÃO";
"GCD107-01";"ATENÇÃO INTEGRAL À SAÚDE DA CRIANÇA E DO ADOLESCENTE";"HELCIO DE SOUSA MARANHAO";"Medicina";"CONSOLIDADO";
"GED277-11";"Atividade Física e Exercício em Populações Especiais";"JONATAS DE FRANÇA BARROS";"Ciências da Saúde";"EM CONSOLIDACÃO";
"GED177-06";"Atividade Física e Saúde";"PAULO MOREIRA SILVA DANTAS";"Educação Física";"EM CONSOLIDACÃO";
"GCG030-00";"AUTOMAÇÃO INDUSTRIAL E CONTROLE DE PROCESSOS";"ALDAYR DANTAS DE ARAUJO";"Engenharia Elétrica";"CONSOLIDADO";
"GED248-10";"Avaliação e Intervenção Fisioterapêutica nos Sistemas Respiratórios e Cardiovascular";"GUILHERME AUGUSTO DE FREITAS FREGONEZI";"Fisioterapia e Terapia Ocupacional";"EM CONSOLIDACÃO";
"GCE037-00";"BASE DE ESTUDOS E PESQUISAS EM ESTRATÉGIAS E POLÍTICAS DE GESTÃO";"MIGUEL EDUARDO MORENO ANEZ";"Ciências Sociais Aplicadas";"CONSOLIDADO";
"GCA008-90";"BASE DE PESQUISA: ECOLOGIA E AQÜICULTURA DOS SERES AQUÁTICOS - RN";"SATHYABAMA CHELLAPPA";"Ciências Biológicas";"CONSOLIDADO";
"GCD069-00";"BASE DE PESQUISA EM CIRURGIA EXPERIMENTAL";"ALDO DA CUNHA MEDEIROS";"Ciências da Saúde";"CONSOLIDADO";
"GCC163-06";"Base de Pesquisa em Estudos Urbanos e Regionais";"RITA DE CASSIA DA CONCEICAO GOMES";"Ciências Humanas";"CONSOLIDADO";
"GCB085-87";"BASE DE PESQUISA EM GEODINÂMICA";"ZORANO SERGIO DE SOUZA";"Ciências Exatas e da Terra";"CONSOLIDADO";
