"id_turma";"codigo";"nome_ascii";"docente_interno";"docente_externo";"nivel_ensino";"ano";"periodo";"capacidade_aluno";"local";"data_inicio";"data_fim";"codigo_turma";"descricao_horario";"observacao";"distancia";"tipo";"data_consolidacao";"agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";"campus_turma";
"57602445";"DEF2014";"AVALIACAO PSICOMOTORA";"735c4c5a0a6661aeb0487ad3130a9c29";"";"LATO SENSU";"2017";"2";"95";"Auditório do DEF e LabLUD do DEF da UFRN";"2017-09-02";"2017-09-03";"01";"17M2345  1T345 7T3456";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"";
"57602445";"DEF2014";"AVALIACAO PSICOMOTORA";"";"e211c0dfe997c5176bf96cee95fb781c";"LATO SENSU";"2017";"2";"95";"Auditório do DEF e LabLUD do DEF da UFRN";"2017-09-02";"2017-09-03";"01";"17M2345  1T345 7T3456";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"";
"57602446";"DEF2018";"COMUNICACAO HUMANA";"77c98e3091ad82335ccb70d1409c7193";"";"LATO SENSU";"2017";"2";"95";"Auditório do DEF da UFRN";"2017-08-05";"2017-08-06";"01";"17M2345  1T345 7T3456";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"";
"57602447";"DEF2006";"FORMACAO PESSOAL IV";"735c4c5a0a6661aeb0487ad3130a9c29";"";"LATO SENSU";"2017";"2";"95";"Auditório do DEF e Sala de danças do DAD da UFRN";"2017-11-04";"2017-11-05";"01";"17M2345  1T345 7T3456";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"";
"57602447";"DEF2006";"FORMACAO PESSOAL IV";"d702f5130aaacae598a518a3c9eb9954";"";"LATO SENSU";"2017";"2";"95";"Auditório do DEF e Sala de danças do DAD da UFRN";"2017-11-04";"2017-11-05";"01";"17M2345  1T345 7T3456";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"";
"57602448";"DEF1999";"POLITICAS PUBLICAS DE EDUCACAO E SAUDE";"3488d4226eef228474f49105bd1a77b9";"";"LATO SENSU";"2017";"2";"95";"Auditório do DEF da UFRN";"2017-12-02";"2017-12-10";"01";"17M2345  1T345 7T3456";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"";
"57602450";"DEF2020";"PSICANALISE EM PSICOMOTRICIDADE";"";"e02f44ec65bec0536c09d5f02c0228e9";"LATO SENSU";"2017";"2";"90";"Auditório do DEF da UFRN";"2017-07-13";"2017-07-14";"01";"6M2345  6T3456  5N1234 6N123";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"";
"57602451";"DEF2005";"FORMACAO PESSOAL III";"";"f4677119e242a2a1dce5f62fb7a12dba";"LATO SENSU";"2017";"2";"95";"Auditório do DEF e Sala de danças do DAD da UFRN";"2017-07-15";"2017-07-16";"01";"17M2345  1T345 7T3456";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"";
"57602957";"ART2077";"PRODUCAO COREOGRAFICA I";"9a3c98b6abf3a05268bfc41ca22c6618";"";"LATO SENSU";"2017";"2";"40";"DEART";"2017-06-17";"2017-07-01";"01";"7M2345  7T23456";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"";
"57602961";"ART2082";"ESTRUTURAS DE IMPROVISACAO E ESTRATEGIAS DOS  PROCESSOS DRAMATURGICOS EM DANCA CONTEM";"";"fb1d0356e647e25203b55d6f29ba7b2e";"LATO SENSU";"2017";"2";"40";"DEART";"2017-07-09";"2017-07-16";"01";"17M2345  17T3456";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"";
