"codigo";"nome_ascii";"nivelensino";"ano";"periodo";"capacidade_aluno";"local";"data_inicio";"data_fim";"codigo_turma";"descricao_horario";"observacao";"distancia";"tipo";"data_consolidacao";"agrupadora";"qtd_aulas_lancadas";"situacaoturma";"convenio";"modalidadeparticipantes";"campusturma"
"DHG0255";"ESTAGIO CURRICULAR SUPERVISIONADO II";"GRADUAÇÃO";"2016";"2";"50";"Sala de Ensino de Geografia / D7 / 4M2345";"2016-07-25";"2016-12-17";"01";"";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Caicó"
"QUI0078";"SEMINARIOS DE ESTAGIOS DE LICENCIATURA EM QUIMICA";"GRADUAÇÃO";"2016";"2";"30";"3A1";"2016-08-08";"2016-11-12";"01";"3M56 (08/08/2016 - 12/11/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"QUI0078";"SEMINARIOS DE ESTAGIOS DE LICENCIATURA EM QUIMICA";"GRADUAÇÃO";"2016";"2";"30";"3B2";"2016-08-08";"2016-11-12";"02";"3N34 (08/08/2016 - 12/11/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"PPGP0021";"CICLO DE POLITICAS PUBLICAS";"STRICTO SENSU";"2016";"2";"30";"Sala D4 do Setor V";"2016-08-15";"2016-12-10";"01";"6M345";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";""
"PPGP0022";"METODOLOGIA DA PESQUISA";"STRICTO SENSU";"2016";"2";"30";"Sala D4 do Setor V";"2016-08-15";"2016-12-10";"01";"5T234";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";""
"QUI0675.0";"TECNICAS DE CARACTERIZACAO DO PETROLEO E GAS NATURAL -TEORICA";"GRADUAÇÃO";"2016";"2";"30";"3B1";"2016-07-25";"2016-12-17";"01";"3T12";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"QUI0675.1";"TECNICAS DE CARACTERIZACAO DO PETROLEO E GAS NATURAL -PRATICA";"GRADUAÇÃO";"2016";"2";"17";"QUIMICA III";"2016-07-25";"2016-12-17";"02";"5T12";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"QUI0675.1";"TECNICAS DE CARACTERIZACAO DO PETROLEO E GAS NATURAL -PRATICA";"GRADUAÇÃO";"2016";"2";"15";"QUIMICA III";"2016-07-25";"2016-12-17";"01";"6T12";"";"f";"1";"";"f";"";"EXCLUÍDA";"";"Presencial";"Campus Central"
"MAT0319";"ALGEBRA LINEAR BASICA I";"GRADUAÇÃO";"2016";"2";"50";"3B6";"2016-07-25";"2016-12-17";"08";"35N34";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"MAT0319";"ALGEBRA LINEAR BASICA I";"GRADUAÇÃO";"2016";"2";"60";"3A1";"2016-07-25";"2016-12-17";"02";"35T34";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"MAT0319";"ALGEBRA LINEAR BASICA I";"GRADUAÇÃO";"2016";"2";"40";"3C3";"2016-07-25";"2016-12-17";"03";"24M56";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"MAT0319";"ALGEBRA LINEAR BASICA I";"GRADUAÇÃO";"2016";"2";"40";"3A4";"2016-07-25";"2016-12-17";"07";"24N34";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"MAT0319";"ALGEBRA LINEAR BASICA I";"GRADUAÇÃO";"2016";"2";"35";"3G4";"2016-07-25";"2016-12-17";"01";"35M12";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"MAT0319";"ALGEBRA LINEAR BASICA I";"GRADUAÇÃO";"2016";"2";"30";"3G3";"2016-07-25";"2016-12-17";"04";"24T56";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"MAT0319";"ALGEBRA LINEAR BASICA I";"GRADUAÇÃO";"2016";"2";"50";"3B5";"2016-07-25";"2016-12-17";"06";"35N34";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"MAT0319";"ALGEBRA LINEAR BASICA I";"GRADUAÇÃO";"2016";"2";"35";"SETOR III";"2016-07-25";"2016-12-17";"02";"34T34";"";"f";"1";"";"f";"";"EXCLUÍDA";"";"Presencial";"Campus Central"
